Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
326805,Au2Na1Sc1Si2,d9538827aa,NaSc(SiAu)2,"['Na', 'Si', 'Sc', 'Au']",6,115.7412,7.4325,-6m2,P-6m2,187,hexagonal,-28.0171,-0.4939,-0.011,,0.015,,-0.0,,-0.011,-0.0028
326988,Ce1Ir6Na1Si14,d9712f3112,NaCe(Si7Ir3)2,"['Na', 'Si', 'Ce', 'Ir']",22,340.052,8.3483,-3,R-3,148,trigonal,-149.4494,-0.6004,-0.0278,,0.0125,,0.0,,-0.0276,-0.0274
327220,Ir19Na5P11Si1,d99ae64373,Na5SiP11Ir19,"['Na', 'Si', 'P', 'Ir']",36,546.6349,12.5637,mm2,Amm2,38,orthorhombic,-258.1753,-0.5184,-0.1001,,0.0066,,0.0,,-0.1001,-0.0658
327519,Ba2Na1Pt7Si2,d9c9697336,Ba2NaSi2Pt7,"['Na', 'Si', 'Ba', 'Pt']",12,238.9258,11.9499,-3m,R-3m,166,trigonal,-67.5142,-0.7506,-0.0619,,0.0384,,-0.0,,-0.0619,-0.0439
327939,Dy1Ir6Na1Si14,da121e1198,NaDy(Si7Ir3)2,"['Na', 'Si', 'Dy', 'Ir']",22,337.0078,8.534,-3,R-3,148,trigonal,-148.1318,-0.6008,-0.0412,,0.0171,,0.0,,-0.041,-0.04
328927,Na1P1Rh2Si1,dab2a372fa,NaSiPRh2,"['Na', 'Si', 'P', 'Rh']",5,80.3346,5.9502,4mm,I4mm,107,tetragonal,-30.3249,-0.687,-0.0312,,0.0113,,0.0,,-0.0312,-0.0081
330038,Hf1Na16P8Si1,db757a67ca,Na16HfSiP8,"['Na', 'Si', 'P', 'Hf']",26,603.5959,2.2619,-43m,F-43m,216,cubic,-91.4881,-0.4449,-0.0118,,,,0.0,,-0.0118,-0.0104
330312,Ir6Na1Pr1Si14,dba083e1ec,NaPr(Si7Ir3)2,"['Na', 'Si', 'Pr', 'Ir']",22,341.9563,8.3057,-3,R-3,148,trigonal,-147.808,-0.5782,-0.0441,,0.0045,,0.0,,-0.0439,-0.0112
330697,Li8Na12P12Si2Zr2,dbe474149d,Na6Li4ZrSiP6,"['Li', 'Na', 'Si', 'P', 'Zr']",36,720.8892,2.1692,222,C222_1,20,orthorhombic,-146.0023,-0.6099,-0.0108,,,,0.0,,-0.0108,-0.0076
332239,Lu2Na2O12Si4,dcf57b38bf,NaLu(SiO3)2,"['O', 'Na', 'Si', 'Lu']",20,249.9718,4.6517,2/m,C2/c,15,monoclinic,-160.024,-3.363,-0.0073,,4.8718,,0.0,,-0.0073,-0.0073
333660,Ba4Li3Na1Si8,dde857fb28,Ba4NaLi3Si8,"['Li', 'Na', 'Si', 'Ba']",16,408.0762,3.3278,m,Pm,6,monoclinic,-63.289,-0.3226,-0.0051,,,,0.0,,-0.0048,-0.0033
333723,Na6Pt12Sb2Si4,ddf2c33b61,Na3Si2SbPt6,"['Na', 'Si', 'Sb', 'Pt']",24,426.2189,11.0443,6/mmm,P6_3/mmc,194,hexagonal,-125.3065,-0.6056,-0.0371,,,,0.0,,-0.0371,-0.0313
334073,Na3Ni1Pt3Si4,de2c3f3d0e,Na3Si4NiPt3,"['Na', 'Si', 'Ni', 'Pt']",11,202.6589,6.762,3m,R3m,160,trigonal,-55.527,-0.5332,-0.0801,,0.0349,,0.0,,-0.0789,-0.0042
334103,Na1Rh6Si14Y1,de30210d72,NaY(Si7Rh3)2,"['Na', 'Si', 'Y', 'Rh']",22,335.9032,5.5492,-3,R-3,148,trigonal,-140.4093,-0.5673,-0.0081,,0.0111,,0.0,,-0.0079,-0.0076
334572,Na2O7Si2Sn2,de7d88f104,Na2Si2Sn2O7,"['O', 'Na', 'Si', 'Sn']",13,197.8139,3.7907,-3,P-3,147,trigonal,-88.97,-2.5239,-0.0123,,2.2168,,0.0,,-0.0123,-0.0122
334746,Ge1Na8Rb8Si15,de998eca89,Rb8Na8Si15Ge,"['Na', 'Si', 'Ge', 'Rb']",32,945.785,2.3906,1,P1,1,triclinic,-105.4519,-0.0342,-0.0128,,,,0.0,,-0.0128,-0.0126
334944,Na4O16Sc4Si4,debbdf339a,NaScSiO4,"['O', 'Na', 'Si', 'Sc']",28,337.3142,3.1512,mmm,Pnma,62,orthorhombic,-224.1124,-3.308,-0.0055,,4.4344,,-0.0,,-0.0055,-0.0055
335392,Ir19Na4Si12Yb1,df08d9cc2b,Na4YbSi12Ir19,"['Na', 'Si', 'Yb', 'Ir']",36,565.9243,12.4826,-6,P-6,174,hexagonal,-262.2973,-0.6232,-0.0928,,0.0038,,0.0,,-0.0923,-0.0736
335883,Na1Rh6Sb3Si1,df5a03af02,NaSi(SbRh2)3,"['Na', 'Si', 'Rh', 'Sb']",11,191.0701,8.9844,-6m2,P-6m2,187,hexagonal,-69.3618,-0.5492,-0.0448,,0.0161,,-0.0,,-0.0448,-0.0088
336023,Na1Pt4Si4Yb1,df752538b6,NaYb(SiPt)4,"['Na', 'Si', 'Yb', 'Pt']",10,174.744,10.3457,4mm,P4mm,99,tetragonal,-56.9177,-0.8071,-0.0664,,0.0013,,0.0,,-0.066,-0.0183
336474,Cd2Na4O8Si2,dfc370b58a,Na2CdSiO4,"['O', 'Na', 'Si', 'Cd']",16,229.4128,3.626,m,Pc,7,monoclinic,-95.6413,-2.3794,-0.0133,,2.4425,,0.0,,-0.0133,-0.013
338248,As12Na4Si12,e0f957f9ee,Na(SiAs)3,"['Na', 'Si', 'As']",28,679.4372,3.2457,mmm,Pbam,55,orthorhombic,-131.949,-0.2016,-0.0445,,1.3565,,0.0,,-0.0445,-0.022
339331,Na1Se2Si1Th2,e1a8b7d450,NaTh2SiSe2,"['Na', 'Si', 'Se', 'Th']",6,165.4336,6.756,-3m,P-3m1,164,trigonal,-37.1866,-1.4365,-0.0849,,0.0162,,0.0,,-0.0849,-0.0627
340301,Au20Ba3Na1Si8,e24bef7910,Ba3Na(Si2Au5)4,"['Na', 'Si', 'Ba', 'Au']",32,659.1479,11.5859,m,Pm,6,monoclinic,-126.7901,-0.3385,-0.0468,,0.0026,,0.0,,-0.0468,-0.0434
340357,Na2Pd1Pt5Si4,e255d822ae,Na2Si4PdPt5,"['Na', 'Si', 'Pd', 'Pt']",12,204.8166,10.0545,1,P1,1,triclinic,-67.8146,-0.6612,-0.0753,,0.0116,,0.0,,-0.0746,-0.0197
342146,Na1Rh6Si14Tm1,e384a540a8,NaTm(Si7Rh3)2,"['Na', 'Si', 'Rh', 'Tm']",22,334.2117,5.9749,-3,R-3,148,trigonal,-138.3963,-0.5663,-0.0139,,0.0121,,0.0,,-0.0137,-0.0135
342581,Na4Se6Si2Yb1,e3cf8f7192,Na4Yb(SiSe3)2,"['Na', 'Si', 'Se', 'Yb']",13,331.2592,3.9848,2,C2,5,monoclinic,-55.6419,-1.3066,-0.0378,,2.7254,,0.0,,-0.0378,-0.0372
342871,Ca4Ir10Na1Si10,e40124ddfb,NaCa4(SiIr)10,"['Na', 'Si', 'Ca', 'Ir']",25,412.7567,9.6003,4/m,I4/m,87,tetragonal,-173.5389,-0.8621,-0.0866,,,,0.0,,-0.0866,-0.0168
343440,B36C1Mg2Na1Si9,e467aa641c,NaMg2Si9B36C,"['B', 'C', 'Na', 'Mg', 'Si']",49,486.0456,2.4789,m,Cm,8,monoclinic,-308.3344,-0.1081,-0.0119,,,,0.0,,-0.0119,-0.0117
345225,Ge1Na12Pt8Si7,e58d944df2,Na12Si7GePt8,"['Na', 'Si', 'Ge', 'Pt']",28,599.2022,5.8357,m,Pm,6,monoclinic,-120.0194,-0.4636,-0.0821,,0.0009,,0.0,,-0.0803,-0.0119
